"filename", "language", "YAML", "JSON", "Jupyter", "JSON with Comments", "Markdown", "Python", "comment", "blank", "total"
"d:\Masterthesis\thesis_eeg\.ipynb_checkpoints\main_notebook-checkpoint.ipynb", "Jupyter", 0, 0, 1983, 0, 0, 0, 0, 1, 1984
"d:\Masterthesis\thesis_eeg\.ipynb_checkpoints\processRawDataset-checkpoint.ipynb", "Jupyter", 0, 0, 447, 0, 0, 0, 0, 1, 448
"d:\Masterthesis\thesis_eeg\.ipynb_checkpoints\testMuse-checkpoint.ipynb", "Jupyter", 0, 0, 1335, 0, 0, 0, 0, 1, 1336
"d:\Masterthesis\thesis_eeg\.ipynb_checkpoints\test_online_eeg_data-checkpoint.ipynb", "Jupyter", 0, 0, 765, 0, 0, 0, 0, 1, 766
"d:\Masterthesis\thesis_eeg\.ipynb_checkpoints\test_pipeline-checkpoint.ipynb", "Jupyter", 0, 0, 1290, 0, 0, 0, 0, 1, 1291
"d:\Masterthesis\thesis_eeg\Code\Measuring_Functions.py", "Python", 0, 0, 0, 0, 0, 86, 3, 28, 117
"d:\Masterthesis\thesis_eeg\Code\Transfomer_Signal.py", "Python", 0, 0, 0, 0, 0, 91, 8, 52, 151
"d:\Masterthesis\thesis_eeg\Code\Transformer_Feature_Extraction.py", "Python", 0, 0, 0, 0, 0, 251, 49, 127, 427
"d:\Masterthesis\thesis_eeg\Code\Transformer_Pre_Processing.py", "Python", 0, 0, 0, 0, 0, 154, 18, 73, 245
"d:\Masterthesis\thesis_eeg\Code\Transformers_Data_Converter.py", "Python", 0, 0, 0, 0, 0, 84, 16, 40, 140
"d:\Masterthesis\thesis_eeg\Code\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Masterthesis\thesis_eeg\Code\consts.py", "Python", 0, 0, 0, 0, 0, 26, 1, 9, 36
"d:\Masterthesis\thesis_eeg\Code\data.py", "Python", 0, 0, 0, 0, 0, 18, 1, 7, 26
"d:\Masterthesis\thesis_eeg\Code\filterFunctions.py", "Python", 0, 0, 0, 0, 0, 11, 2, 3, 16
"d:\Masterthesis\thesis_eeg\Code\machine_learning_data_generation.py", "Python", 0, 0, 0, 0, 0, 282, 36, 119, 437
"d:\Masterthesis\thesis_eeg\Code\main.py", "Python", 0, 0, 0, 0, 0, 122, 26, 61, 209
"d:\Masterthesis\thesis_eeg\Code\myDecorators.py", "Python", 0, 0, 0, 0, 0, 45, 22, 18, 85
"d:\Masterthesis\thesis_eeg\Code\pipelines.py", "Python", 0, 0, 0, 0, 0, 55, 6, 19, 80
"d:\Masterthesis\thesis_eeg\Code\plotFunctions.py", "Python", 0, 0, 0, 0, 0, 101, 12, 56, 169
"d:\Masterthesis\thesis_eeg\Code\utils.py", "Python", 0, 0, 0, 0, 0, 91, 1, 26, 118
"d:\Masterthesis\thesis_eeg\README.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 10, 69
"d:\Masterthesis\thesis_eeg\config\muse_lsl.yaml", "YAML", 31, 0, 0, 0, 0, 0, 6, 9, 46
"d:\Masterthesis\thesis_eeg\config\muse_monitor.yaml", "YAML", 10, 0, 0, 0, 0, 0, 1, 2, 13
"d:\Masterthesis\thesis_eeg\config\neuroscan.yaml", "YAML", 31, 0, 0, 0, 0, 0, 7, 8, 46
"d:\Masterthesis\thesis_eeg\config\openBci.yaml", "YAML", 31, 0, 0, 0, 0, 0, 6, 9, 46
"d:\Masterthesis\thesis_eeg\dict.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Masterthesis\thesis_eeg\environment.yml", "YAML", 537, 0, 0, 0, 0, 0, 0, 0, 537
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\.ipynb_checkpoints\knn-checkpoint.ipynb", "Jupyter", 0, 0, 219, 0, 0, 0, 0, 1, 220
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\.ipynb_checkpoints\lstm-checkpoint.ipynb", "Jupyter", 0, 0, 292, 0, 0, 0, 0, 1, 293
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\.ipynb_checkpoints\semi_supervised-checkpoint.ipynb", "Jupyter", 0, 0, 645, 0, 0, 0, 0, 1, 646
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\.ipynb_checkpoints\svm-checkpoint.ipynb", "Jupyter", 0, 0, 286, 0, 0, 0, 0, 1, 287
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\knn.ipynb", "Jupyter", 0, 0, 239, 0, 0, 0, 0, 1, 240
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\lstm.ipynb", "Jupyter", 0, 0, 318, 0, 0, 0, 0, 1, 319
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\semi_supervised.ipynb", "Jupyter", 0, 0, 640, 0, 0, 0, 0, 1, 641
"d:\Masterthesis\thesis_eeg\machine_learning_notebooks\svm.ipynb", "Jupyter", 0, 0, 266, 0, 0, 0, 0, 1, 267
"d:\Masterthesis\thesis_eeg\main_notebook.ipynb", "Jupyter", 0, 0, 1983, 0, 0, 0, 0, 1, 1984
"d:\Masterthesis\thesis_eeg\processRawDataset.ipynb", "Jupyter", 0, 0, 315, 0, 0, 0, 0, 1, 316
"d:\Masterthesis\thesis_eeg\projectkado\.ipynb_checkpoints\svm-checkpoint.ipynb", "Jupyter", 0, 0, 182, 0, 0, 0, 0, 1, 183
"d:\Masterthesis\thesis_eeg\projectkado\svm.ipynb", "Jupyter", 0, 0, 182, 0, 0, 0, 0, 1, 183
"d:\Masterthesis\thesis_eeg\testMuse.ipynb", "Jupyter", 0, 0, 1318, 0, 0, 0, 0, 1, 1319
"d:\Masterthesis\thesis_eeg\test_online_eeg_data.ipynb", "Jupyter", 0, 0, 4182, 0, 0, 0, 0, 1, 4183
"d:\Masterthesis\thesis_eeg\test_pipeline.ipynb", "Jupyter", 0, 0, 3835, 0, 0, 0, 0, 1, 3836
"d:\Masterthesis\thesis_eeg\thesis_workspace.code-workspace", "JSON with Comments", 0, 0, 0, 18, 0, 0, 0, 0, 18
"Total", "-", 640, 1, 20722, 18, 59, 1418, 221, 696, 23775